Date,PORTFOLIO
8/25/20,0.000496966
8/26/20,0.005033112
8/27/20,-0.000887384
8/28/20,0.002133202
8/31/20,0.001692628
9/1/20,0.003531717
9/2/20,0.004678798
9/3/20,-0.012759963
9/4/20,-0.004775213
9/8/20,-0.010625471
9/9/20,0.007365083
9/10/20,-0.005110048
9/11/20,0.000283825
9/14/20,0.006075504
9/15/20,0.003018714
9/16/20,-0.002438298
9/17/20,-0.004118967
9/18/20,-0.003866982
9/21/20,-0.003105472
9/22/20,0.002559427
9/23/20,-0.010096068
9/24/20,0.002031977
9/25/20,0.0062703
9/28/20,0.006565902
9/29/20,-0.001739685
9/30/20,0.002150356
10/1/20,0.00416491
10/2/20,-0.004217172
10/5/20,0.00428485
10/6/20,-0.004531892
10/7/20,0.005247658
10/8/20,0.003984752
10/9/20,0.003229382
10/12/20,0.006515908
10/13/20,-0.001693496
10/14/20,-0.002171367
10/15/20,-0.001235174
10/16/20,-0.001767168
10/19/20,-0.005937369
10/20/20,0.000895464
10/21/20,-0.001414963
10/22/20,0.001479161
10/23/20,0.001681433
10/26/20,-0.005774002
10/27/20,-0.000147213
10/28/20,-0.01443864
10/29/20,0.004385928
10/30/20,-0.006519615
11/2/20,0.005580415
11/3/20,0.006987071
11/4/20,0.010656997
11/5/20,0.008486999
11/6/20,-0.000439629
11/9/20,0.001233204
11/10/20,-0.000542737
11/11/20,0.003656868
11/12/20,-0.002182677
11/13/20,0.005225407
11/16/20,0.004591045
11/17/20,-0.000251932
11/18/20,-0.002463732
11/19/20,0.002286748
11/20/20,-0.001678038
11/23/20,0.002843711
11/24/20,0.006553099
11/25/20,-0.000119745
11/27/20,0.001567663
11/30/20,-0.001890071
12/1/20,0.003027541
12/2/20,0.000171891
12/3/20,0.001273194
12/4/20,0.001918645
12/7/20,0.002047241
12/8/20,0.001169353
12/9/20,-0.005436892
12/10/20,0.001004685
12/11/20,-0.000995867
12/14/20,-0.000684005
12/15/20,0.004864303
12/16/20,0.000898083
12/17/20,0.003209282
12/18/20,-0.00059628
12/21/20,-0.003007572
12/22/20,-0.00037758
12/23/20,-0.002823449
12/24/20,0.002132845
12/28/20,0.00451808
12/29/20,0.001684711
12/30/20,0.001286575
